cinema_ID,adress,cinema_name
46799,"23 Bayview Close,MOUNT MORGAN",The Infinity Concert Hall
53771,"49 Begley Street,COOKTOWN",The Dominion Theatre
25929,"70 Railway Street,EVANSLEA",The Sunset Opera House
31435,"49 Begley Street,COOKTOWN",The Guardian Cinema
12198,"68 McDowall Street,COES CREEK",The Patriot Theatre
43999,"68 Shirley Street,COOMERA",The Harmony Cinema
64129,"24 Woodwark Crescent,MUNDERRA",The Ecstasy Cinema
42367,"34 Brentwood Drive,LAKELAND",The Ellipse Assembly Hall
89124,"95 Creek Street,PIRRINUAN",The Exalted Amphitheater
56767,"10 South Molle Boulevard,NICHOLSON",The Nebula Theater
30130,"29 Chapel Close,CAIRNS NORTH",The Dreamland Amphitheater
49413,"78 Seninis Road,TOWNSVILLE DC",The Major Cinema
29106,"70 Mt Berryman Road,GLENAVEN",The Capital Assembly Hall
46649,"56 Hunter Street,TOOWOOMBA SOUTH",The Fortune Concert Hall
52279,"8 Old Gayndah Road,TINANA SOUTH",The Paradise Opera House
27671,"37 Passage Avenue,YAM ISLAND",The Monument Theater
10676,"48 Sunset Drive,ARAMAC", The White Flare Opera House
50969,"10 Derry Street,NORLEY",The Golden Gate Concert Hall
21941,"95 Lowe Street,MORABY",The Sapphire Theatre
72604,"65 Treasure Island Avenue,BURLEIGH DC",The Angel Opera House
69870,"73 Goebels Road,KENTVILLE",The Unison Theater
81988,"78 Bapaume Road,RAVENSBOURNE",The Galaxy Theater
96443,"33 Bayview Close,ST LAWRENCE",The Lunar Cinema
30172,"81 Brentwood Drive,HURRICANE",The Emerald Cinema
71350,"97 Hillsdale Road,ARAMARA",The Royal Hall Assembly Hall
45619,"12 Martens Place,BULIMBA",The Prism Theatre
12024,"45 Woodwark Crescent,SILVER VALLEY",The Image Theater
16493,"88 Bapaume Road,OMAN AMA",The Grand Fountain Theatre
43175,"65 Ronald Crescent,MOUNT ALMA",The Vision Theatre
26434,"97 Mt Berryman Road,CRESSBROOK CREEK",The Phoenix Cinema
