MovieID,detail,Name,release_date,duration
21052822,"Following the events at home, the Abbott family now face the terrors of the outside world. Forced to venture into the unknown, they realize the creatures that hunt by sound are not the only threats lurking beyond the sand path.",A Quiet Place Part II,2021/5/28,97
21060410,The Warrens investigate a murder that may be linked to a demonic possession.,The Conjuring: The Devil Made Me Do It ,2021/6/4,112
21061633,The bodyguard Michael Bryce continues his friendship with assassin Darius Kincaid as they try to save Darius's wife Sonia.,Hitman's Wife's Bodyguard,2021/6/16,122
21061841,"THE SPARKS BROTHERS, is a musical odyssey through five weird and wonderful decades with Ron and Russell Mael celebrating the inspiring legacy of Sparks.",The Sparks Brothers,2021/6/18,135
21070252,All the rules are broken as a sect of lawless marauders decides that the annual Purge does not stop at daybreak and instead should never end.,The Forever Purge,2021/7/2,89
21071047,NBA superstar LeBron James teams up with Bugs Bunny and the rest of the Looney Tunes for this long-awaited sequel.,Space Jam: A New Legacy,2021/7/10,129
21073017,A fantasy re-telling of the medieval story of Sir Gawain and the Green Knight.,The Green Knight ,2021/7/30,104
21080654,"Supervillains Harley Quinn, Bloodsport, Peacemaker and a collection of nutty cons at Belle Reve prison join the super-secret, super-shady Task Force X as they are dropped off at the remote, enemy-infused island of Corto Maltese.",The Suicide Squad,2021/8/6,114
21081457,"A bank teller discovers that he's actually an NPC inside a brutal, open world video game.",Free Guy,2021/8/14,135
21082722,"A ""spiritual sequel"" to the horror film Candyman (1992) that returns to the now-gentrified Chicago neighborhood where the legend began.",Candyman,2021/8/27,103
21090212,"The movie, based on Marvel Comics, will focus on Shang-Chi; 'The Master of Kung-Fu'.",Shang-Chi and the Legend of the Ten Rings,2021/9/2,137
21091774,"The Templeton brothers have become adults and drifted away from each other, but a new boss baby with a cutting-edge approach is about to bring them together again - and inspire a new family business",The Boss Baby: Family Business,2021/9/17,117
21092496,Sequel to the 2018 film 'Venom'.,Venom: Let There Be Carnage,2021/9/24,100
21100119,"Feature adaptation of Frank Herbert's science fiction novel, about the son of a noble family entrusted with the protection of the most valuable asset and most vital element in the galaxy.",Dune ,2021/10/1,131
21100720,"James Bond has left active service. His peace is short-lived when Felix Leiter, an old friend from the CIA, turns up asking for help, leading Bond onto the trail of a mysterious villain armed with dangerous new technology.",No Time to Die,2021/10/7,163
21102270,"A young girl, passionate about fashion design, is mysteriously able to enter the 1960s where she encounters her idol, a dazzling wannabe singer. But 1960s London is not what it seems, and time seems to fall apart with shady consequences.",Last Night in Soho,2021/10/22,82
21102910,"In an isolated Oregon town, a middle-school teacher and her sheriff brother become embroiled with her enigmatic student, whose dark secrets lead to terrifying encounters with a legendary ancestral creature who came before them.",Antlers,2021/10/29,99
21110500,"The saga of the Eternals, a race of immortal beings who lived on Earth and shaped its history and civilizations.",Eternals,2021/11/5,112
21112584,"Set in 1998, this 'Resident Evil' origin story explains the secrets of the Spencer Mansion and Raccoon City.",Resident Evil: Welcome to Raccoon City,2021/11/25,149
21121052,"An adaptation of the 1957 musical, West Side Story explores forbidden love and the rivalry between the Jets and the Sharks, two teenage street gangs of different ethnic backgrounds.",West Side Story,2021/12/10,96
21121700,A continuation of Spider-Man Far From Home,Spider-Man: No Way Home,2021/12/17,136
22011742,"When a top-secret weapon falls into mercenary hands, a wild card CIA agent joins forces with three international agents on a lethal mission to retrieve it, while staying a step ahead of a mysterious woman who's tracking their every move.",The 355,2022/1/7,95
22012870,"Biochemist Michael Morbius tries to cure himself of a rare blood disease, but he inadvertently infects himself with a form of vampirism instead.",Morbius,2022/1/28,85
22021166,"While on vacation on the Nile, Hercule Poirot must investigate the murder of a young heiress.",Death on the Nile,2022/2/11,136
22021835,"The story is a prequel to the games, starring Holland as a younger Drake, showing us details of how he came to meet and befriend Sully.",Uncharted ,2022/2/18,121
22020430,"The birth of Batman (6 pieces) at the beginning of its birth, Batman was not different from the popular novels with detective themes at that time except wearing bat clothes. He is not so much a hero as a detective.",The Batman,2022/3/4,92
22032584,Sequel to the 2016 Marvel film 'Doctor Strange'.,Doctor Strange in the Multiverse of Madness,2022/3/25,87
22040888,"After settling in Green Hills, Sonic is ready for more freedom, and Tom and Maddie agree to leave him home while they go on vacation. But, no sooner are they gone, when Dr. Robotnik comes back, this time with a new partner, Knuckles, in search for an emerald that has the power to both build and destroy civilizations. ",Sonic the Hedgehog 2,2022/4/8,132
22040812,"Set in Iceland at the turn of the 10th century, a Nordic prince sets out on a mission of revenge after his father is murdered.",The Northman,2022/4/8,129
22050642,The sequel to Thor: Ragnarok and the fourth movie in the Thor saga.,Thor: Love and Thunder,2022/5/6,105
