MovieID,movie_stars
21052822,"Emily Blunt, Millicent Simmonds, Cillian Murphy"
21060410,"Patrick Wilson, Vera Farmiga, Ruairi O'Connor"
21061633,"Ryan Reynolds, Frank Grillo, Samuel L. Jackson"
21061841,"Ron Mael, Russell Mael, Beck "
21070252,"Ana de la Reguera, Josh Lucas, Cassidy Freeman"
21071047,"LeBron James, Zendaya, Sonequa Martin-Green"
21073017,"Dev Patel, Alicia Vikander, Joel Edgerton"
21080654,"Margot Robbie, Idris Elba, John Cena"
21081457,"Ryan Reynolds, Jodie Comer, Taika Waititi"
21082722,"Yahya Abdul-Mateen II, Teyonah Parris, Nathan Stewart-Jarrett "
21090212,"Simu Liu, Awkwafina, Tony Chiu-Wai Leung "
21091774,"James Marsden, Jeff Goldblum, Lisa Kudrow"
21092496,"Tom Hardy, Michelle Williams, Stephen Graham"
21100119,"Timothée Chalamet, Rebecca Ferguson, Zendaya "
21100720,"Daniel Craig, Ana de Armas, Rami Malek "
21102270,"Jessie Mei Li, Anya Taylor-Joy, Matt Smith"
21102910,"Keri Russell, Jesse Plemons, Jeremy T. Thomas"
21110500,"Angelina Jolie, Richard Madden, Salma Hayek "
21112584,"Kaya Scodelario, Robbie Amell, Hannah John-Kamen "
21121052,"Ansel Elgort, Rachel Zegler, Ariana DeBose"
21121700,"Angourie Rice, Tom Holland, Zendaya "
22011742,"Jessica Chastain, Lupita Nyong'o, Diane Kruger"
22012870,"Archie Renaux, Jared Leto, Matt Smith "
22021166,"Kenneth Branagh, Gal Gadot, Tom Bateman"
22021835,"Tom Holland, Mark Wahlberg, Antonio Banderas"
22020430,"Andy Serkis, Robert Pattinson, Colin Farrell"
22032584,"Rachel McAdams, Elizabeth Olsen, Benedict Cumberbatch"
22040888,"Jim Carrey, James Marsden, Ben Schwartz"
22040812,"Anya Taylor-Joy, Alexander Skarsgård, Nicole Kidman"
22050642,"Chris Hemsworth, Karen Gillan, Matt Damon"
