MovieID,type
21052822,"Drama, Horror, Sci-Fi "
21060410,"Horror, Mystery, Thriller"
21061633,"Action, Comedy, Crime"
21061841,"Documentary, Music "
21070252,"Action, Horror, Sci-Fi "
21071047,"Animation, Adventure, Comedy"
21073017," Adventure, Drama, Fantasy"
21080654,"Action, Adventure, Comedy"
21081457,"Action, Comedy, Sci-Fi"
21082722,"Horror, Thriller "
21090212,"Action, Adventure, Fantasy"
21091774," Animation, Adventure, Comedy"
21092496,"Action, Sci-Fi, Thriller "
21100119," Adventure, Drama, Sci-Fi"
21100720,"Action, Adventure, Thriller "
21102270,"Drama, Horror, Thriller"
21102910,"Horror, Mystery "
21110500,"Action, Adventure, Drama "
21112584,"Action, Horror, Mystery "
21121052,"Crime, Drama, Musical"
21121700,"Action, Adventure, Sci-Fi"
22011742," Action, Thriller"
22012870,"Action, Adventure, Drama "
22021166,"Crime, Drama, Mystery"
22021835,"Action, Adventure"
22020430,"Action, Crime, Drama"
22032584,"Action, Adventure, Fantasy "
22040888,"Animation, Action, Adventure "
22040812,"Action, Adventure, Drama"
22050642,"Action, Adventure, Fantasy "
