user_ID,rating_ID,context,MovieID
17204422,13216210,You're such a wonderful person — but you got problems. I can stare for a thousand years. What you like is in the limo.,21080654
17612229,47405621,"Hey, that's far out so you heard him too! Don't pick fights with the bullies or the cads. I found my teacher crouching in his overalls.",21073017
20773535,32123440,Look at those cavemen go. Don't pick fights with the bullies or the cads.,21090212
21885820,58594273,"You're too old to lose it, too young to choose it. Far out!",21100119
23065620,10152140,I would not challenge a giant. What you like is in the limo. She asked for my love and I gave her a dangerous mind.,21071047
25167281,52259926,"It's the terror of knowing what this world is about — watching some good friends screaming, ""Let me out!"". ",21102910
25585288,80123343,"We believe in you. It's War-hol, actually.",22032584
37755463,28309548,So softly a supergod cries. Beware the savage jaw of 1984.,21100720
38618106,42133976,"Somewhere, someone's calling me when the chips are down. Turn to the right! I watch the ripples change their size, but never leave the stream.",22011742
43280085,37873187,"Oh no love, you're not alone. Have you sought fortune evasive and shy? Dignity is valuable, but our lives are valuable too.",21110500
43290930,41723901,"Hey, that's far out so you heard him too! He makes you laugh, he brings you out in style.",21092496
44233570,37721184,"As they pulled you out of the oxygen tent, you asked for the latest party. It's a very modern world, but nobody's perfect.",22021835
44864915,48948135,"He was awful nice — really quite out of sight. Tell my wife I love her very much. If you think we're gonna make it, you better hang on to yourself.",21102270
46932562,79069061,Far out! Beware the savage jaw of 1984.,21060410
48168316,68015536,"Pale blinds drawn all day. Hey, that's far out so you heard him too!",21052822
50396071,32372569,"The sun machine is coming down, and we're gonna have a party. She asked for my love and I gave her a dangerous mind.",21112584
55267055,58216667,"Lady Stardust sang his songs of darkness and disgrace. His name was always Buddy, and he'd shrug and ask to stay.",22040888
57046306,60451157,"I watch the ripples change their size, but never leave the stream. So softly a supergod cries.",22012870
59775064,68194311,"If you think we're gonna make it, you better hang on to yourself. Never look back, walk tall, act fine.",21091774
63334571,61275531,Pale blinds drawn all day. What you like is in the limo. I'm a space invader.,21121700
67659416,10786406,"Breaking up is hard, but keeping dark is hateful. Never look back, walk tall, act fine.",22040812
68592894,87348133,I never thought I'd need so many people. No death for the perfect men.,21061633
71869359,35880889,I'm glad that you're older than me. Look at those cavemen go. You were a talented child.,22021166
76475445,63820277,Is it any wonder I reject you first? I found my teacher crouching in his overalls.,21082722
77116445,32187831,"Oh no, don't say it's true. I'm happy, hope you're happy too. Far out!",22050642
77180757,96173201,"They're travelling the holy land opening telegrams. You're too old to lose it, too young to choose it. Tell my wife I love her very much.",21070252
79868528,36599767,Sometimes I feel the need to move on; so I pack a bag and move on. Don't tell your papa or he'll get us locked up in fright!,21061841
82980018,27110692,He treats you well and makes you up real fine. I found my teacher crouching in his overalls.,21081457
94913812,81183567,Tell my wife I love her very much. Sordid details following.,22020430
95769868,39220508,I can stare for a thousand years. The return of the Thin White Duke.,21121052
